type,name,latitude,longitude,rank
fuel station,total kisasi,0.3997267486483406,32.59335566095161,10
fuel station,shell kagoma,0.40590496552339445,32.54700189219522,10
fuel station,total busesa,0.6420650902390234,33.60490923529105,4
fuel station,Nyalkaran Fuel Station, 0.6559155293561579,34.12500451056373,3
fuel station,TotalEnergies Nakawa Service Station,0.34071381349925883, 32.62152736694872,8
fuel station,CityOil, Jinja Road, Mukono,0.34037045998457177, 32.621527360142956,7
fuel station,TotalEnergies Iganga Service,0.6886854552730914, 33.47697807264341,10
fuel station,TotalEnergies Bugisu Service Station,1.0825974631586681, 34.179402681656484,10
fuel station,Total Petrol Station masaka,-0.33530574596438634, 31.73851169082756,9
fuel station,Rubis Masaka I Service Station-0.33976936908087474, 31.73026966583556,9
fuel station,TotalEnergies Mbarara Service Station,-0.5991212771943814, 30.64305413897285,10
fuel station,Bam Petrol Station Ntungamo,-0.40700578148817046, 30.0941300571896,7
fuel station,TotalEnergies Ntungamo Service Station,-0.8143431403019663, 30.254649075517488,10
fuel station,Stabex Petrol station Luwero,0.8263682021671779, 32.50231724236198,10
fuel station,TotalEnergies Luweero Service Station,0.8551878163678295, 32.48691672217692,10
fuel station,Igar Petrol Station Jinja,0.4477419952475528, 33.19330289585915,10
fuel station,HASS JINJA SERVICE STATION,0.4710882491464221, 33.23673543185746,9
fuel station,Shell Masaka-Mutukula, Kalisizo,-0.5059200702003085, 31.62165289682862,8
fuel station,Kakuuto Petrol Station,-0.8345210478823836, 31.475971145388556,7
fuel station,Meru Petroleum Mutukula,-0.9609496189874233, 31.41956659914273,9
fuel station,TotalEnergies Mpondwe Road Service Station,0.3117168281083659, 30.076755495860247,10
fuel station,Gaz Fortportal,0.7530533869545892, 30.271935388281268,6
weigh bridge,busitema Unra weighbridge,0.5363555108341203,33.967059443423686,10
weigh bridge,Malaba Weighbridge,0.6444005411861187,34.268998147823176,10
weigh bridge,UNRA Magamaga Weigh Station,0.5391156820572927, 33.37255345542718,10
weigh bridge,Luweero wegh bridge,0.9010024086399337, 32.48698574368481,8
weigh bridge,Nyakateete UNRA Weigh Bridge,-0.0723250828766516, 30.49465573283769,9
weigh bridge,UNRA Mbarara Station,-0.5883119465291737, 30.659446238967693,9
weigh bridge,Nyakateete UNRA Weigh Bridge,0.053826294744596534, 30.515039223660484,10
weigh bridge,Nyakateete UNRA Weigh Bridge,-0.10306825181696598, 30.50104401290201,10
